Commodities,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24
Rice,27.23,27.44,27.57,27.44,27.57,27.79,28.26,28.38,28.78,28.54,28.15,27.86,27.64,27.66,27.43,27.56,27.5,27.58,27.52,27.34,27.4,27.55,27.52,27.43,27.06,27.04,26.95,26.85,26.83,27.03,27.38,27.53,27.51,27.45,27.73,28.15,28.34,28.87,28.85,28.64,28.84,29.07,29.48,29.46,29.47,29.81,30,29.82,30.13,30.08,30.08,30.03,29.98,30.1,30.22,30.04,29.9,29.97,29.98,30.04,30.09,30.34,30.35,30.41,30.86,31.54,31.68,32.04,32.38,33.11,33.63,33.48,33.54,33.54,33.34,34.07,34.09,34.34,34.21,34.54,34.74,34.87,35.02,34.62,37.46,37.48,37.71,36.62,36.22,35.66,35.58,35.39,35.1,35.27,35.49,35.53,35.43,35.82,36.12,35.92,36.03,36.28,36.59,37.43,38.07,38.1,37.97,38.04,38.09,38.63,38.82,39.04,39.22,39.74,40.73,41.5,42.17,42.59,43.03,43.38,43.62,44.1,44.28,44.35,44.5,44.85,44.55,43.66,43.4
Wheat,21.84,21.76,21.61,21.29,21.03,21,21.49,21.52,22.07,22.16,22.12,21.89,22.06,22.9,22.72,22.61,22.33,22.56,22.64,22.50,22.70,23.14,23.54,23.41,23.35,23.82,23.69,23.27,23.34,23.39,23.31,23.31,23.32,23.42,24.05,24.56,24.51,24.65,24.41,23.96,23.73,23.68,23.67,23.46,23.38,23.75,23.87,23.82,23.81,23.97,23.93,23.83,23.91,24.00,23.99,24.13,24.30,24.66,24.87,25.07,25.59,26.22,26.27,25.98,26.14,26.43,26.58,26.95,27.03,28.12,28.26,28.27,28.61,28.84,28.81,29.10,28.94,28.49,28.12,28.23,27.92,27.68,27.91,27.70,28.68,27.95,27.90,27.05,26.20,26.40,26.64,26.56,26.75,27.28,27.98,27.97,28.00,28.40,28.67,28.93,29.35,29.72,29.88,30.56,30.84,30.83,31.38,31.95,32.79,33.21,32.21,31.32,31.27,31.67,31.96,32.31,32.66,32.93,33.64,33.72,33.76,33.88,33.69,33.51,33.49,33.67,33.86,33.52,33.46
Atta (Wheat),23.8,23.55,23.47,23.4,22.92,23.12,23.51,23.69,23.96,24.12,24.06,23.98,24.19,24.97,24.97,24.95,24.53,24.61,24.67,24.49,24.62,24.78,24.74,24.71,24.58,24.98,24.95,24.58,24.48,24.61,24.76,24.97,25.07,25.38,26.14,27.12,27.12,26.85,26.64,26.17,25.98,25.70,25.98,25.80,25.88,26.07,26.42,26.32,26.20,26.20,26.26,25.98,26.01,26.09,26.24,26.45,26.54,26.85,27.14,27.29,27.39,27.78,27.82,27.68,27.81,27.91,27.90,28.38,28.42,29.41,29.78,29.73,30.09,30.21,30.12,31.20,31.37,31.37,31.20,31.11,31.12,30.64,30.70,30.47,31.53,31.52,31.77,31.00,29.54,30.07,30.22,30.22,30.39,30.67,31.15,31.20,31.30,31.71,32.02,32.38,32.97,33.67,33.88,35.08,35.91,36.06,36.64,36.96,37.51,37.80,37.07,36.55,36.42,36.95,37.18,37.71,38.08,38.31,38.98,38.98,38.93,38.98,38.91,38.77,38.70,38.75,38.71,38.34,38.30
Gram Dal,49.58,48.21,48.79,48.7,48.59,47.41,46.36,46.08,46.12,46.2,45.64,45.48,47.0,48.33,49.39,51.31,56.54,59.40,60.00,61.09,63.78,68.05,69.56,69.01,67.42,66.05,65.48,68.26,73.58,79.26,93.07,99.79,100.28,112.11,123.41,123.70,114.84,100.76,89.43,88.80,86.79,85.14,81.91,80.71,83.20,82.51,79.58,76.84,73.84,71.41,69.32,66.55,64.45,63.65,63.46,64.99,64.75,64.20,65.03,66.08,66.43,66.54,65.14,64.83,65.64,66.16,6614.00,65.90,65.59,66.25,67.06,66.54,66.32,65.63,65.00,69.01,68.26,66.57,66.48,66.36,68.70,72.53,74.23,73.78,73.29,72.19,73.60,74.90,76.97,76.70,75.17,74.97,75.71,76.03,76.24,75.41,74.56,74.58,74.55,74.29,74.07,73.61,73.30,73.29,73.41,73.21,73.57,72.86,72.49,72.36,72.60,73.33,73.97,74.47,74.80,76.39,80.48,82.42,83.45,83.43,82.83,82.85,83.60,83.84,84.93,87.62,88.80,89.46,91.81
Tur/Arhar Dal,70.02,69.95,70.14,70.25,70.41,69.93,70.35,71.68,73.93,74.11,75.1,75.65,77.13,79.0,81.75,85.23,91.89,95.33,98.42,105.13,119.95,143.78,152.29,150.08,145.74,140.14,135.27,138.22,141.19,140.10,139.33,132.27,121.27,121.57,118.82,113.03,102.96,95.95,89.55,88.13,85.35,82.50,78.97,78.09,79.79,78.29,76.54,75.08,74.17,73.87,73.12,71.00,70.33,69.98,70.10,70.01,69.52,69.09,69.92,71.69,72.84,74.63,74.89,75.65,79.22,83.22,84.10,85.13,85.94,86.57,88.46,88.35,87.98,86.90,87.24,94.53,94.73,92.96,93.14,93.03,94.91,104.55,106.59,105.05,104.61,104.42,106.30,107.00,108.45,107.41,105.66,104.64,105.42,105.53,104.86,102.88,102.04,102.69,103.26,102.98,102.79,102.56,103.66,108.68,111.32,111.73,112.74,111.96,111.46,111.65,113.47,116.44,119.24,126.89,134.13,138.09,146.29,151.63,155.20,154.68,150.47,149.07,149.17,150.93,155.11,161.11,167.13,165.60,164.25
Urad DaI,64.35,65.13,65.87,67.26,69.07,71.2,72.75,76.01,78.61,76.32,75.71,76.27,77.97,79.15,79.62,82.99,91.33,97.34,98.86,100.88,107.54,129.42,142.15,142.64,139.56,137.17,135.29,141.35,152.19,152.73,151.67,143.84,131.50,126.13,119.57,113.77,107.86,103.44,98.84,99.33,97.29,95.02,90.41,86.70,87.72,85.01,81.49,77.99,75.48,74.35,73.13,70.84,70.08,69.32,69.35,69.05,68.72,68.43,70.08,71.06,71.83,72.20,71.80,71.76,72.38,75.20,74.77,74.91,74.75,78.42,91.40,96.40,99.01,98.76,97.49,104.03,104.40,101.76,100.15,98.71,99.04,103.95,106.42,107.38,109.00,108.94,110.09,110.17,109.79,108.90,106.85,105.65,106.61,107.11,107.47,106.75,105.91,106.08,105.20,104.72,104.75,104.14,104.37,107.05,108.19,108.50,108.66,107.85,107.13,106.72,107.17,108.21,109.33,111.46,113.63,115.03,117.22,118.95,122.37,123.04,122.54,123.11,123.82,124.22,125.38,126.75,127.06,125.41,124.57
Moong DaI,78.78,82.24,85.13,88.31,89.08,87.08,86.69,88.29,89.09,89.25,93.64,96.02,98.14,99.32,99.21,100.41,102.29,101.29,99.11,98.36,99.71,107.20,108.78,107.31,105.31,102.56,100.96,100.88,100.72,98.41,96.86,92.93,87.75,86.58,84.18,82.69,80.64,79.24,78.75,80.89,80.59,78.90,76.78,75.00,76.49,75.87,74.68,73.75,74.09,74.33,73.49,72.27,72.30,72.46,73.28,73.40,73.30,73.46,74.16,75.06,75.75,76.59,76.35,76.55,78.75,81.92,81.70,82.33,83.44,84.64,88.15,89.58,93.19,96.39,98.56,108.61,111.01,108.94,106.92,103.52,101.76,102.56,104.44,104.63,106.57,106.41,106.75,106.84,107.25,105.53,102.99,101.10,101.61,101.61,102.60,101.93,101.55,101.90,102.29,102.67,102.63,102.14,101.70,101.93,102.75,103.28,103.69,103.38,103.44,104.22,105.06,107.10,108.36,109.36,110.49,111.29,113.63,115.56,116.54,116.48,116.13,116.44,117.19,117.60,118.03,118.81,118.36,116.37,115.57
Masoor Dal,59.07,59.07,60.33,62.57,64.79,65.45,66.31,67.81,69.22,69.81,71.05,71.8,74,74.32,73.49,74.18,77.84,80.78,82.32,84.75,88.48,90.27,89.74,87.60,83.61,80.33,79.12,81.10,82.84,83.80,85.57,85.39,84.16,83.49,82.01,80.27,78.69,77.11,74.80,74.89,73.61,71.72,68.88,66.67,66.55,65.28,64.20,63.00,62.56,62.45,61.89,60.25,60.28,60.22,60.94,61.15,61.30,61.55,61.55,61.42,61.81,62.76,62.73,61.99,61.87,62.60,62.80,62.71,62.83,63.26,64.67,65.09,66.79,67.61,67.22,72.96,76.23,76.61,76.70,77.35,77.80,78.41,79.26,78.93,81.04,80.57,80.60,82.53,85.08,86.93,87.00,88.28,92.15,94.87,96.47,96.52,96.71,97.24,97.36,96.28,96.58,96.37,96.20,96.84,96.55,95.59,95.76,94.95,94.19,93.13,92.78,92.96,92.59,92.01,92.00,92.02,93.41,94.14,94.25,94.11,93.66,93.50,93.40,93.33,93.42,94.16,93.26,90.24,89.49
Groundnut Oil (Packed),122.32,120.82,122.24,121.53,122.39,118.76,121.93,120.95,119.61,119.05,119.13,118.24,119.14,119.95,119.10,119.63,120.88,120.54,120.62,121.48,123.57,124.10,123.66,123.79,123.62,123.20,122.80,125.03,129.30,132.23,134.52,135.05,135.47,135.80,135.55,135.39,135.42,133.84,133.46,133.37,132.76,131.69,131.04,129.87,128.48,127.82,127.65,127.32,126.97,126.74,126.44,126.46,125.82,124.84,124.61,124.46,124.98,125.47,125.74,127.00,126.17,126.85,127.24,126.60,127.95,129.05,129.74,130.29,131.30,133.96,134.66,135.55,137.07,136.94,137.77,143.80,146.56,147.96,149.25,149.23,150.49,152.99,154.22,157.00,161.86,163.46,166.59,170.66,175.66,178.89,178.04,178.07,180.69,182.32,181.43,181.48,179.83,179.44,185.47,188.56,191.82,191.85,191.11,190.41,191.30,191.58,192.14,190.66,189.54,188.82,189.18,190.52,190.77,190.70,191.14,191.90,192.19,192.42,193.02,192.27,190.88,189.72,189.14,188.98,188.55,188.42,188.99,186.59,185.41
Mustard Oil (Packed),98.51,98.06,97.91,98.14,97.63,96.84,97.17,97.02,97.42,97.71,97.62,97.74,99.41,101.32,99.64,99.75,100.22,101.53,102.77,103.23,105.24,107.17,113.32,112.57,111.91,110.87,107.76,106.34,108.36,108.42,108.37,109.4,110.05,109.53,110.59,111.58,110.58,110.06,109.65,107.62,106.9,105.88,105.59,104.79,105.17,105.56,105.55,106.63,106.58,106.49,105.67,105.14,105.18,105.44,106.21,105.9,106.25,106.06,106.92,107.99,108.35,109.41,108.81,108.3,108.52,109.15,109.53,108.64,109.65,111.19,112.52,113.67,117.13,117.74,116.98,117.95,118.25,119.94,122.09,124.48,126.45,128.63,132.66,137.66,144.2,144.88,150.38,155.39,165.76,170.68,170.05,172.28,179.29,184.83,186.35,186.62,185.12,189.24,191.6,189.18,189.41,186.48,183.01,180.89,177.55,174.48,176.38,175.51,173.92,171.15,167.27,163.21,159.47,154.23,150.97,150.92,149.87,148.38,148.73,148.05,146.63,146,145.65,145.62,145.56,147.12,147.46,145.26,145.03
